C:\Users\doris\anaconda3\envs\py37\python.exe F:\resource_provision_mec\codes\min_cost\ppo\train.py 
------use_orthogonal_init------
------use_orthogonal_init------
step: 1024 / 2000000, lr = 0.00029984639999999996
evaluate_num:1 	 evaluate_reward:61.71885987130055 	 info: [{'cost': 4308.0, 'assigned_user': '50 / 50'}]
step: 2048 / 2000000, lr = 0.00029969279999999995
step: 3072 / 2000000, lr = 0.0002995392
evaluate_num:2 	 evaluate_reward:61.55040139936655 	 info: [{'cost': 4431.0, 'assigned_user': '50 / 50'}]
step: 4096 / 2000000, lr = 0.0002993856
step: 5120 / 2000000, lr = 0.00029923199999999997
evaluate_num:3 	 evaluate_reward:62.06681302182349 	 info: [{'cost': 4432.0, 'assigned_user': '50 / 50'}]
step: 6144 / 2000000, lr = 0.00029907839999999996
step: 7168 / 2000000, lr = 0.00029892479999999995
evaluate_num:4 	 evaluate_reward:61.5043837367794 	 info: [{'cost': 4447.0, 'assigned_user': '50 / 50'}]
step: 8192 / 2000000, lr = 0.0002987712
step: 9216 / 2000000, lr = 0.0002986176
evaluate_num:5 	 evaluate_reward:61.01888245980549 	 info: [{'cost': 4486.0, 'assigned_user': '50 / 50'}]
step: 10240 / 2000000, lr = 0.00029846399999999997
step: 11264 / 2000000, lr = 0.0002983104
evaluate_num:6 	 evaluate_reward:62.58381066422514 	 info: [{'cost': 4326.0, 'assigned_user': '50 / 50'}]
step: 12288 / 2000000, lr = 0.00029815679999999994
step: 13312 / 2000000, lr = 0.0002980032
evaluate_num:7 	 evaluate_reward:60.77316678825732 	 info: [{'cost': 4400.0, 'assigned_user': '50 / 50'}]
step: 14336 / 2000000, lr = 0.0002978496
step: 15360 / 2000000, lr = 0.00029769599999999996
evaluate_num:8 	 evaluate_reward:59.82060690656826 	 info: [{'cost': 4512.0, 'assigned_user': '50 / 50'}]
step: 16384 / 2000000, lr = 0.0002975424
step: 17408 / 2000000, lr = 0.00029738879999999994
evaluate_num:9 	 evaluate_reward:59.88663533284415 	 info: [{'cost': 4486.0, 'assigned_user': '50 / 50'}]
step: 18432 / 2000000, lr = 0.0002972352
step: 19456 / 2000000, lr = 0.00029708159999999997
evaluate_num:10 	 evaluate_reward:58.90429330829146 	 info: [{'cost': 4551.0, 'assigned_user': '50 / 50'}]
step: 20480 / 2000000, lr = 0.00029692799999999996
step: 21504 / 2000000, lr = 0.0002967744
evaluate_num:11 	 evaluate_reward:59.32337137027094 	 info: [{'cost': 4514.0, 'assigned_user': '50 / 50'}]
